fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/bharatelectronics/BE03,Bharat Electronics Ltd.,Aerospace & defense,1910.5,2.21%,0.01%,2.5% (Oct 2022),1.87% (Jan 2023),1.46 Cr,0.00,0.01
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,5503.6,3.77%,0.31%,3.77% (Jul 2023),2.64% (Sep 2022),59.09 L,1.54 L,0.31
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,3715.8,3.27%,0.03%,4.13% (Jan 2023),3.24% (Jun 2023),39.89 L,-1.00 L,0.03
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,1795.9,2.09%,0.13%,2.3% (Jan 2023),1.8% (Sep 2022),19.28 L,0.00,0.13
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/cgpowerindustrialsolutions/CG,CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,267.3,3.29%,0.01%,3.29% (Jul 2023),0% (Aug 2022),6.65 L,0.00,0.01
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,4878.4,3.34%,0.11%,3.77% (Aug 2022),2.74% (Dec 2022),47.39 L,0.00,0.11
SBI Magnum Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,3889.5,3.29%,0.55%,3.29% (Jul 2023),2.05% (May 2023),37.78 L,5.63 L,0.55
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,2044.7,2.36%,0.11%,2.76% (Aug 2022),2.25% (Jun 2023),19.86 L,0.00,0.11
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,Cummins India Ltd.,"Compressors, pumps & diesel engines",7067.3,3.19%,0.10%,3.19% (Jul 2023),1.19% (Sep 2022),35.91 L,1.30 L,0.1
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06,Emami Ltd.,Personal care,4477.2,3.07%,0.12%,3.18% (Jan 2023),2.68% (Mar 2023),96.72 L,0.00,0.12
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/automobile-tractors/escortskubota/E,Escorts Ltd.,Tractors,252.4,3.27%,0.33%,3.27% (Jul 2023),2.41% (Mar 2023),99.40 k,5.05 k,0.33
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,83.6,4.15%,0.20%,4.7% (Mar 2023),3.6% (Aug 2022),6.17 L,0.00,0.2
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,1373.9,3.98%,0.05%,5.3% (Jan 2023),3.82% (Aug 2022),1.01 Cr,0.00,0.05
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3179.6,3.68%,0.50%,3.85% (Dec 2022),3.18% (Jun 2023),2.34 Cr,23.70 L,0.5
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3000.6,3.59%,0.32%,3.87% (Mar 2023),3.05% (Aug 2022),2.21 Cr,14.69 L,0.32
Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,33.2,3.54%,0.47%,3.81% (Oct 2022),3.05% (May 2023),2.45 L,30.00 k,0.47
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,4022.9,3.54%,0.23%,4.38% (Mar 2023),3.31% (Jun 2023),2.97 Cr,19.56 L,0.23
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,244.2,3.01%,0.80%,3.35% (Jan 2023),0% (Aug 2022),18.00 L,4.55 L,0.8
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,2076.6,2.41%,0.06%,3.05% (Dec 2022),2.35% (Jun 2023),1.53 Cr,0.00,0.06
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/fortishealthcare/FH,Fortis Healthcare Ltd.,Hospital,2196.0,2.63%,0.28%,2.63% (Jul 2023),0.99% (Aug 2022),63.50 L,4.17 L,0.28
PGIM India Midcap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,HDFC Bank Ltd.,Private sector bank,2357.9,2.55%,2.55%,3.9% (Dec 2022),0% (Aug 2022),14.28 L,14.28 L,2.55
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,ICICI Bank Ltd.,Private sector bank,74.6,3.70%,0.15%,3.78% (Mar 2023),3.31% (Aug 2022),74.68 k,0.00,0.15
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,ICICI Bank Ltd.,Private sector bank,7395.2,3.33%,0.15%,4.35% (Nov 2022),3.18% (Jun 2023),74.08 L,0.00,0.15
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,1329.0,3.85%,0.40%,4.37% (Jan 2023),2.59% (Aug 2022),38.31 L,0.00,0.4
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,735.5,3.18%,0.47%,4.23% (Jan 2023),1.46% (Aug 2022),21.20 L,1.37 L,0.47
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,1301.1,3.77%,0.42%,3.77% (Jul 2023),2.14% (Oct 2022),9.05 L,38.95 k,0.42
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,667.9,2.89%,0.16%,2.93% (May 2023),1.02% (Aug 2022),4.65 L,0.00,0.16
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,230.8,2.84%,0.24%,2.84% (Jul 2023),0.48% (Aug 2022),1.61 L,1.87 k,0.24
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,8227.6,2.62%,0.21%,2.66% (Dec 2022),2.34% (Oct 2022),57.23 L,20.00 k,0.21
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,1398.3,3.31%,0.30%,3.31% (Jul 2023),1.45% (Aug 2022),14.19 L,85.00 k,0.3
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,2891.4,2.55%,0.12%,2.55% (Jul 2023),1.68% (Aug 2022),29.34 L,94.49 k,0.12
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/mphasis/MB02,Mphasis Ltd.,Computers - software & consulting,1886.9,2.18%,0.23%,2.18% (Jul 2023),1.33% (Oct 2022),8.22 L,-0.40 L,0.23
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/multiline-insurance-brokers/pbfintech/PF14,PB Fintech Ltd.,Financial technology (fintech),205.5,2.66%,0.08%,2.66% (Jul 2023),0% (Aug 2022),2.81 L,13.62 k,0.08
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",6759.3,4.63%,0.43%,4.63% (Jul 2023),2.85% (Aug 2022),39.05 L,1.66 L,0.43
PGIM India Midcap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",2937.2,3.17%,0.21%,3.17% (Jul 2023),0% (Aug 2022),16.97 L,0.00,0.21
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",1223.1,2.89%,0.13%,2.89% (Jul 2023),2.62% (Mar 2023),7.07 L,0.00,0.13
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",219.9,2.85%,0.54%,3.02% (Nov 2022),1.89% (Mar 2023),1.27 L,20.32 k,0.54
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,271.0,3.51%,0.64%,3.51% (Jul 2023),2.77% (Aug 2022),56.26 k,-2.19 k,0.64
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,5086.4,3.49%,0.03%,3.49% (Jul 2023),2.38% (Aug 2022),10.56 L,-3.01 L,0.03
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,1971.2,2.29%,0.20%,2.29% (Jul 2023),1.64% (Aug 2022),4.09 L,-0.75 L,0.2
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,2849.9,2.51%,0.24%,2.86% (Dec 2022),2.12% (Sep 2022),1.09 Cr,-2.11 L,0.24
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,1925.0,2.30%,0.31%,2.3% (Jul 2023),0% (Aug 2022),73.64 L,0.00,0.31
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,Punjab National Bank,Public sector bank,1482.6,5.86%,0.20%,8.27% (Dec 2022),0% (Aug 2022),2.40 Cr,0.00,0.2
Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,Rural Electrification Corporation Limited,Financial institution,37.6,4.00%,0.56%,4% (Jul 2023),0% (Aug 2022),1.85 L,0.00,0.56
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/bearings/skfindia/SKF01,SKF India Ltd.,Abrasives & bearings,9021.0,2.87%,0.06%,3.71% (Aug 2022),2.66% (Apr 2023),16.81 L,0.00,0.06
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramfinance/STF,Shriram Finance Ltd.,Non banking financial company (nbfc),3074.5,3.68%,0.28%,3.68% (Jul 2023),1.71% (Sep 2022),16.24 L,61.00 k,0.28
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramfinance/STF,Shriram Finance Ltd.,Non banking financial company (nbfc),1054.9,3.06%,1.57%,3.06% (Jul 2023),0% (Aug 2022),5.57 L,2.77 L,1.57
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramfinance/STF,Shriram Finance Ltd.,Non banking financial company (nbfc),2409.0,2.80%,0.12%,2.8% (Jul 2023),2.1% (Sep 2022),12.73 L,0.00,0.12
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,14990.2,4.78%,0.25%,4.78% (Jul 2023),3.57% (Aug 2022),42.23 L,2.68 k,0.25
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,6220.1,4.26%,0.24%,4.67% (Nov 2022),3.53% (May 2023),17.52 L,0.00,0.24
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,77.5,3.85%,0.30%,3.85% (Jul 2023),2.14% (Aug 2022),21.84 k,0.00,0.3
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,Supreme Industries Ltd.,Plastic products - industrial,8140.3,3.67%,0.30%,3.67% (Jul 2023),2.24% (Aug 2022),22.93 L,0.00,0.3
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10,Syngene International Ltd.,"Healthcare research, analytics & technology",214.0,2.77%,0.07%,2.79% (Apr 2023),0% (Aug 2022),2.69 L,13.79 k,0.07
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,TVS Motor Company Ltd.,2/3 wheelers,220.4,2.86%,0.18%,2.86% (Jul 2023),0% (Aug 2022),1.60 L,13.92 k,0.18
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,TVS Motor Company Ltd.,2/3 wheelers,1181.8,2.80%,0.27%,4.76% (Oct 2022),2.34% (Mar 2023),8.58 L,95.39 k,0.27
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,2148.5,8.49%,1.66%,8.49% (Jul 2023),3.21% (Dec 2022),11.96 L,2.59 L,1.66
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,220.4,2.72%,0.43%,2.72% (Jul 2023),0% (Aug 2022),1.23 L,12.70 k,0.43
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,Tata Communications Ltd.,Telecom - cellular & fixed line services,2950.4,2.60%,0.10%,2.6% (Jul 2023),0.85% (Aug 2022),16.43 L,-0.15 L,0.1
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,846.1,3.65%,0.18%,3.82% (Mar 2023),2.86% (Nov 2022),3.25 L,0.00,0.18
SBI Magnum Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,3928.7,3.33%,0.23%,3.97% (Mar 2023),3.06% (Nov 2022),15.11 L,0.00,0.23
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,Thermax Ltd.,Heavy electrical equipment,7972.5,2.54%,0.19%,3.38% (Aug 2022),2.35% (Jun 2023),30.67 L,0.00,0.19
