fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02,Astral Ltd.,Plastic products - industrial,261.3,3.22%,0.15%,3.22% (Jul 2023),0% (Aug 2022),1.33 L,13.89 k,0.15
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,Aurobindo Pharma Ltd.,Pharmaceuticals,666.0,2.88%,0.50%,2.88% (Jul 2023),0% (Aug 2022),8.10 L,1.10 L,0.5
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,Balkrishna Industries Ltd.,Tyres & rubber products,2923.7,5.58%,0.33%,5.58% (Jul 2023),0% (Aug 2022),11.50 L,50.00 k,0.33
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,Balkrishna Industries Ltd.,Tyres & rubber products,1717.0,4.06%,0.06%,4.06% (Jul 2023),2.34% (Sep 2022),6.75 L,0.00,0.06
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,Balkrishna Industries Ltd.,Tyres & rubber products,12451.4,2.74%,0.02%,3.05% (Jan 2023),2.7% (Sep 2022),48.98 L,0.00,0.02
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,Balkrishna Industries Ltd.,Tyres & rubber products,3962.2,2.71%,0.06%,2.71% (Jul 2023),1.84% (Sep 2022),15.58 L,0.00,0.06
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,Balkrishna Industries Ltd.,Tyres & rubber products,694.9,2.11%,0.05%,2.36% (Aug 2022),1.54% (Nov 2022),2.73 L,0.00,0.05
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/bharatelectronics/BE03,Bharat Electronics Ltd.,Aerospace & defense,448.3,3.15%,0.43%,3.15% (Jul 2023),0% (Aug 2022),34.30 L,5.50 L,0.43
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/bharatelectronics/BE03,Bharat Electronics Ltd.,Aerospace & defense,1910.5,2.21%,0.01%,2.5% (Oct 2022),1.87% (Jan 2023),1.46 Cr,0.00,0.01
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,5503.6,3.77%,0.31%,3.77% (Jul 2023),2.64% (Sep 2022),59.09 L,1.54 L,0.31
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,3715.8,3.27%,0.03%,4.13% (Jan 2023),3.24% (Jun 2023),39.89 L,-1.00 L,0.03
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,1795.9,2.09%,0.13%,2.3% (Jan 2023),1.8% (Sep 2022),19.28 L,0.00,0.13
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/cgpowerindustrialsolutions/CG,CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,2211.3,4.22%,0.03%,11.77% (Jan 2023),4.2% (Jun 2023),55.00 L,0.00,0.03
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/cgpowerindustrialsolutions/CG,CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,267.3,3.29%,0.01%,3.29% (Jul 2023),0% (Aug 2022),6.65 L,0.00,0.01
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRISIL Ltd.,Other financial services,428.4,3.01%,0.10%,3.01% (Jul 2023),0% (Aug 2022),1.09 L,10.00 k,0.1
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,6655.4,3.84%,0.01%,3.84% (Jul 2023),2.82% (Dec 2022),68.27 L,-1.39 L,0.01
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,1314.7,3.14%,0.07%,3.14% (Jul 2023),2.29% (Dec 2022),13.49 L,0.00,0.07
JM Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,82.8,3.72%,1.31%,3.72% (Jul 2023),0% (Aug 2022),80.45 k,35.65 k,1.31
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,4878.4,3.34%,0.11%,3.77% (Aug 2022),2.74% (Dec 2022),47.39 L,0.00,0.11
SBI Magnum Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,3889.5,3.29%,0.55%,3.29% (Jul 2023),2.05% (May 2023),37.78 L,5.63 L,0.55
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,1202.1,2.87%,0.06%,3.42% (Aug 2022),2.81% (Jun 2023),11.68 L,0.00,0.06
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,2044.7,2.36%,0.11%,2.76% (Aug 2022),2.25% (Jun 2023),19.86 L,0.00,0.11
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,Cummins India Ltd.,"Compressors, pumps & diesel engines",7067.3,3.19%,0.10%,3.19% (Jul 2023),1.19% (Sep 2022),35.91 L,1.30 L,0.1
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/automobile-tractors/escortskubota/E,Escorts Ltd.,Tractors,252.4,3.27%,0.33%,3.27% (Jul 2023),2.41% (Mar 2023),99.40 k,5.05 k,0.33
JM Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/automobile-tractors/escortskubota/E,Escorts Ltd.,Tractors,61.8,2.78%,0.72%,2.78% (Jul 2023),0% (Aug 2022),24.35 k,8.20 k,0.72
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,83.6,4.15%,0.20%,4.7% (Mar 2023),3.6% (Aug 2022),6.17 L,0.00,0.2
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,1373.9,3.98%,0.05%,5.3% (Jan 2023),3.82% (Aug 2022),1.01 Cr,0.00,0.05
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3179.6,3.68%,0.50%,3.85% (Dec 2022),3.18% (Jun 2023),2.34 Cr,23.70 L,0.5
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3000.6,3.59%,0.32%,3.87% (Mar 2023),3.05% (Aug 2022),2.21 Cr,14.69 L,0.32
Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,33.2,3.54%,0.47%,3.81% (Oct 2022),3.05% (May 2023),2.45 L,30.00 k,0.47
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,4022.9,3.54%,0.23%,4.38% (Mar 2023),3.31% (Jun 2023),2.97 Cr,19.56 L,0.23
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,477.0,3.44%,0.98%,4.09% (Dec 2022),2.46% (Jun 2023),35.16 L,9.91 L,0.98
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,454.8,3.20%,0.15%,3.79% (Apr 2023),0% (Aug 2022),33.53 L,1.25 L,0.15
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,244.2,3.01%,0.80%,3.35% (Jan 2023),0% (Aug 2022),18.00 L,4.55 L,0.8
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,407.0,2.85%,0.05%,3.68% (Dec 2022),2.8% (Jun 2023),30.00 L,0.00,0.05
ITI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,135.5,2.67%,0.55%,3.66% (Oct 2022),2.12% (Jun 2023),9.99 L,1.84 L,0.55
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,1072.7,2.56%,0.03%,3.16% (Dec 2022),2.53% (Jun 2023),79.08 L,0.00,0.03
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,2076.6,2.41%,0.06%,3.05% (Dec 2022),2.35% (Jun 2023),1.53 Cr,0.00,0.06
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,653.4,1.98%,0.19%,2.15% (Apr 2023),0% (Aug 2022),48.17 L,3.42 L,0.19
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3313.5,1.91%,0.28%,3.26% (Aug 2022),1.63% (Jun 2023),2.44 Cr,33.27 L,0.28
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/fortishealthcare/FH,Fortis Healthcare Ltd.,Hospital,1148.0,2.74%,0.09%,2.74% (Jul 2023),2.43% (May 2023),33.19 L,0.00,0.09
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/fortishealthcare/FH,Fortis Healthcare Ltd.,Hospital,2196.0,2.63%,0.28%,2.63% (Jul 2023),0.99% (Aug 2022),63.50 L,4.17 L,0.28
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/fortishealthcare/FH,Fortis Healthcare Ltd.,Hospital,3442.6,1.98%,0.26%,1.99% (Aug 2022),1.62% (May 2023),99.54 L,10.05 L,0.26
PGIM India Midcap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,HDFC Bank Ltd.,Private sector bank,2357.9,2.55%,2.55%,3.9% (Dec 2022),0% (Aug 2022),14.28 L,14.28 L,2.55
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,ICICI Bank Ltd.,Private sector bank,74.6,3.70%,0.15%,3.78% (Mar 2023),3.31% (Aug 2022),74.68 k,0.00,0.15
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,ICICI Bank Ltd.,Private sector bank,7395.2,3.33%,0.15%,4.35% (Nov 2022),3.18% (Jun 2023),74.08 L,0.00,0.15
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,1329.0,3.85%,0.40%,4.37% (Jan 2023),2.59% (Aug 2022),38.31 L,0.00,0.4
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,735.5,3.18%,0.47%,4.23% (Jan 2023),1.46% (Aug 2022),21.20 L,1.37 L,0.47
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,433.6,3.04%,0.01%,4.01% (Jan 2023),2.56% (Aug 2022),12.50 L,-1.50 L,0.01
ITI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,115.3,2.27%,0.27%,2.27% (Jul 2023),0% (Aug 2022),3.32 L,0.00,0.27
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,1301.1,3.77%,0.42%,3.77% (Jul 2023),2.14% (Oct 2022),9.05 L,38.95 k,0.42
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,487.4,3.42%,0.41%,3.42% (Jul 2023),0% (Aug 2022),3.39 L,20.00 k,0.41
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,667.9,2.89%,0.16%,2.93% (May 2023),1.02% (Aug 2022),4.65 L,0.00,0.16
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,230.8,2.84%,0.24%,2.84% (Jul 2023),0.48% (Aug 2022),1.61 L,1.87 k,0.24
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,8227.6,2.62%,0.21%,2.66% (Dec 2022),2.34% (Oct 2022),57.23 L,20.00 k,0.21
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/kajariaceramics/KC06,Kajaria Ceramics Ltd.,Ceramics,295.3,2.13%,0.63%,2.13% (Jul 2023),1.26% (Apr 2023),2.05 L,51.43 k,0.63
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,1398.3,3.31%,0.30%,3.31% (Jul 2023),1.45% (Aug 2022),14.19 L,85.00 k,0.3
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,2891.4,2.55%,0.12%,2.55% (Jul 2023),1.68% (Aug 2022),29.34 L,94.49 k,0.12
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,315.3,2.21%,0.07%,2.21% (Jul 2023),0.91% (Aug 2022),3.20 L,0.00,0.07
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/mphasis/MB02,Mphasis Ltd.,Computers - software & consulting,1143.9,2.73%,0.46%,3.31% (Jan 2023),2.28% (Jun 2023),4.98 L,25.00 k,0.46
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/mphasis/MB02,Mphasis Ltd.,Computers - software & consulting,1886.9,2.18%,0.23%,2.18% (Jul 2023),1.33% (Oct 2022),8.22 L,-0.40 L,0.23
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nhpc/N07,NHPC Ltd.,Power generation,324.5,2.27%,0.13%,2.72% (Aug 2022),1.87% (Sep 2022),63.00 L,0.00,0.13
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nhpc/N07,NHPC Ltd.,Power generation,715.3,2.17%,0.14%,2.17% (Jul 2023),0% (Aug 2022),1.39 Cr,0.00,0.14
JM Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/multiline-insurance-brokers/pbfintech/PF14,PB Fintech Ltd.,Financial technology (fintech),66.9,3.00%,0.57%,3% (Jul 2023),0% (Aug 2022),91.40 k,29.80 k,0.57
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/multiline-insurance-brokers/pbfintech/PF14,PB Fintech Ltd.,Financial technology (fintech),205.5,2.66%,0.08%,2.66% (Jul 2023),0% (Aug 2022),2.81 L,13.62 k,0.08
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,345.8,2.50%,0.26%,2.61% (Oct 2022),2% (Dec 2022),72.89 k,15.00 k,0.26
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",6759.3,4.63%,0.43%,4.63% (Jul 2023),2.85% (Aug 2022),39.05 L,1.66 L,0.43
PGIM India Midcap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",2937.2,3.17%,0.21%,3.17% (Jul 2023),0% (Aug 2022),16.97 L,0.00,0.21
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",1223.1,2.89%,0.13%,2.89% (Jul 2023),2.62% (Mar 2023),7.07 L,0.00,0.13
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",219.9,2.85%,0.54%,3.02% (Nov 2022),1.89% (Mar 2023),1.27 L,20.32 k,0.54
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",1011.4,2.42%,0.10%,2.42% (Jul 2023),2.25% (Mar 2023),5.84 L,0.00,0.1
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,562.6,3.95%,0.84%,3.95% (Jul 2023),0% (Aug 2022),1.17 L,0.00,0.84
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,271.0,3.51%,0.64%,3.51% (Jul 2023),2.77% (Aug 2022),56.26 k,-2.19 k,0.64
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,5086.4,3.49%,0.03%,3.49% (Jul 2023),2.38% (Aug 2022),10.56 L,-3.01 L,0.03
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/polycabindia/PI44,Polycab India Limited,Cables - electricals,1971.2,2.29%,0.20%,2.29% (Jul 2023),1.64% (Aug 2022),4.09 L,-0.75 L,0.2
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,6225.3,3.59%,0.45%,3.59% (Jul 2023),1.14% (Sep 2022),2.38 Cr,0.00,0.45
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,2849.9,2.51%,0.24%,2.86% (Dec 2022),2.12% (Sep 2022),1.09 Cr,-2.11 L,0.24
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,1925.0,2.30%,0.31%,2.3% (Jul 2023),0% (Aug 2022),73.64 L,0.00,0.31
HSBC Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,1748.9,2.21%,1.07%,2.21% (Jul 2023),0.29% (Sep 2022),66.91 L,27.27 L,1.07
