fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,1273.9,2.94%,0.07%,3.27% (Sep 2022),2.81% (Jun 2023),11.68 L,0,0.07
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,223.0,2.73%,0.82%,2.73% (Aug 2023),1.35% (Dec 2022),2.04 L,61.36 k,0.82
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,2166.9,2.48%,0.11%,2.61% (Sep 2022),2.25% (Jun 2023),19.86 L,0,0.11
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN,Deepak Nitrite Ltd.,Specialty chemicals,3996.0,6.97%,1.78%,6.97% (Aug 2023),2.69% (Jan 2023),18.00 L,4.50 L,1.78
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN,Deepak Nitrite Ltd.,Specialty chemicals,2331.3,2.67%,0.23%,3.13% (Oct 2022),2.44% (Jul 2023),10.50 L,0,0.23
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07,Dixon Technologies (India) Ltd.,Consumer electronics,1030.8,3.70%,3.70%,3.7% (Aug 2023),0% (Sep 2022),2.06 L,2.06 L,3.7
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07,Dixon Technologies (India) Ltd.,Consumer electronics,1076.1,2.94%,1.46%,2.94% (Aug 2023),0.35% (Jan 2023),2.15 L,91.53 k,1.46
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07,Dixon Technologies (India) Ltd.,Consumer electronics,205.4,2.52%,0.09%,3.31% (Oct 2022),1.76% (Jan 2023),41.04 k,-4.50 k,0.09
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06,Emami Ltd.,Personal care,5073.5,3.37%,0.30%,3.37% (Aug 2023),2.68% (Mar 2023),96.72 L,0.00,0.3
HSBC Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06,Emami Ltd.,Personal care,1744.7,2.19%,0.25%,4.04% (Sep 2022),1.94% (Jul 2023),33.26 L,0,0.25
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/automobile-tractors/escortskubota/E,Escorts Ltd.,Tractors,1327.8,4.76%,0.85%,8.33% (Sep 2022),3.91% (Jul 2023),4.20 L,30.80 k,0.85
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/automobile-tractors/escortskubota/E,Escorts Ltd.,Tractors,334.0,4.09%,0.82%,4.09% (Aug 2023),2.41% (Mar 2023),1.06 L,6.31 k,0.82
JM Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/automobile-tractors/escortskubota/E,Escorts Ltd.,Tractors,98.6,3.44%,0.66%,3.44% (Aug 2023),0% (Sep 2022),31.20 k,6.85 k,0.66
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,1490.0,4.06%,0.08%,5.3% (Jan 2023),3.82% (Sep 2022),1.04 Cr,2.22 L,0.08
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3374.2,3.86%,0.18%,3.86% (Aug 2023),3.18% (Jun 2023),2.34 Cr,0,0.18
Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,37.4,3.75%,0.21%,3.81% (Oct 2022),3.05% (May 2023),2.60 L,15.00 k,0.21
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3184.2,3.70%,0.10%,3.87% (Mar 2023),3.11% (Sep 2022),2.21 Cr,0.00,0.1
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,4269.0,3.58%,0.04%,4.38% (Mar 2023),3.31% (Jun 2023),2.97 Cr,0.00,0.04
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,431.9,2.91%,0.06%,3.68% (Dec 2022),2.8% (Jun 2023),30.00 L,0.00,0.06
ITI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,143.8,2.75%,0.08%,3.66% (Oct 2022),2.12% (Jun 2023),9.99 L,0.00,0.08
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,1138.3,2.63%,0.06%,3.16% (Dec 2022),2.53% (Jun 2023),79.08 L,0,0.06
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,2203.7,2.48%,0.07%,3.05% (Dec 2022),2.35% (Jun 2023),1.53 Cr,0.00,0.07
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,3516.2,1.92%,0.01%,2.79% (Sep 2022),1.63% (Jun 2023),2.44 Cr,0,0.01
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicalslimited/GUJAR54281,Gujarat Fluorochemicals Ltd.,Specialty chemicals,1393.2,3.21%,0.24%,5.08% (Sep 2022),2.97% (Jul 2023),4.57 L,0,0.24
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicalslimited/GUJAR54281,Gujarat Fluorochemicals Ltd.,Specialty chemicals,309.2,2.10%,0.38%,2.59% (Apr 2023),0% (Sep 2022),1.02 L,14.00 k,0.38
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,1431.9,3.91%,0.06%,4.37% (Jan 2023),2.59% (Sep 2022),37.82 L,-0.49 L,0.06
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianbank/IB04,Indian Bank,Public sector bank,12277.4,2.60%,0.22%,2.7% (Apr 2023),1.74% (Sep 2022),3.24 Cr,12.32 L,0.22
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,Indian Hotels Company Limited,Hotels & resorts,20132.6,4.26%,0.10%,5.69% (Sep 2022),4.16% (Jul 2023),4.78 Cr,0.00,0.1
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,Indian Hotels Company Limited,Hotels & resorts,8492.9,3.75%,0.16%,3.78% (May 2023),2.81% (Sep 2022),2.02 Cr,0.00,0.16
SBI Magnum Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,Indian Hotels Company Limited,Hotels & resorts,3654.4,2.91%,0.01%,3.34% (May 2023),2.9% (Jul 2023),86.82 L,0.00,0.01
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,Indian Hotels Company Limited,Hotels & resorts,875.1,2.55%,0.21%,2.78% (May 2023),1.82% (Jan 2023),20.79 L,1.33 L,0.21
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,Indian Hotels Company Limited,Hotels & resorts,366.2,2.47%,0.06%,2.65% (May 2023),2.16% (Jan 2023),8.70 L,0.00,0.06
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-medium-small/jindalstainless/JSL01,Jindal Stainless Ltd.,Iron & steel products,1120.5,2.60%,0.26%,2.6% (Aug 2023),0.35% (Sep 2022),24.65 L,0.00,0.26
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-medium-small/jindalstainless/JSL01,Jindal Stainless Ltd.,Iron & steel products,291.2,1.97%,0.12%,2.19% (Feb 2023),0% (Sep 2022),6.40 L,0.00,0.12
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-others/jiofinancialservices/JFS,Jio Financial Services Ltd.,Non banking financial company (nbfc),5604.0,9.77%,9.77%,9.77% (Aug 2023),0% (Sep 2022),2.40 Cr,2.40 Cr,9.77
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-others/jiofinancialservices/JFS,Jio Financial Services Ltd.,Non banking financial company (nbfc),988.5,3.54%,2.68%,3.54% (Aug 2023),0% (Sep 2022),42.33 L,34.00 L,2.68
JM Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,Jubilant Foodworks Ltd.,Restaurants,79.4,2.77%,0.48%,3.43% (Jan 2023),0% (Sep 2022),1.55 L,48.50 k,0.48
PGIM India Midcap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,Jubilant Foodworks Ltd.,Restaurants,2259.3,2.41%,0.13%,3.36% (May 2023),2.28% (Jul 2023),44.12 L,0,0.13
Taurus Discovery (Midcap) Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/kprmill/M15,K.P.R. Mill Ltd.,Other textile products,33.7,3.38%,0.35%,3.55% (Mar 2023),2.88% (Sep 2022),44.50 k,0.00,0.35
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/kprmill/M15,K.P.R. Mill Ltd.,Other textile products,1130.7,2.61%,0.33%,2.61% (Aug 2023),2.22% (Dec 2022),14.93 L,0,0.33
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,1652.2,3.83%,0.52%,3.83% (Aug 2023),1.46% (Sep 2022),15.05 L,86.00 k,0.52
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,3221.2,2.70%,0.16%,2.7% (Aug 2023),1.72% (Oct 2022),29.34 L,0.00,0.16
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,351.3,2.37%,0.16%,2.37% (Aug 2023),0.92% (Oct 2022),3.20 L,0.00,0.16
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,Lupin Ltd.,Pharmaceuticals,548.9,2.24%,0.54%,2.24% (Aug 2023),0% (Sep 2022),5.00 L,1.00 L,0.54
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-investments/maxfinancialservices/MI,Max Financial Services Ltd.,Life insurance,236.4,2.90%,2.90%,2.9% (Aug 2023),0% (Sep 2022),2.53 L,2.53 L,2.9
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-investments/maxfinancialservices/MI,Max Financial Services Ltd.,Life insurance,4648.2,2.53%,0.19%,3.08% (Jan 2023),2.25% (Apr 2023),49.78 L,0,0.19
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/maxhealthcareinstitutelimited/MHI,Max Healthcare Institute Ltd.,Hospital,823.9,2.40%,0.03%,2.72% (Jun 2023),0% (Sep 2022),13.97 L,85.34 k,0.03
ITI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/maxhealthcareinstitutelimited/MHI,Max Healthcare Institute Ltd.,Hospital,105.3,2.01%,0.06%,2.06% (Jun 2023),1.65% (Sep 2022),1.79 L,11.71 k,0.06
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-head-lamps-lights/unominda/MI4,Minda Industries Ltd.,Auto components & equipments,715.2,2.09%,0.01%,2.79% (Sep 2022),2% (Mar 2023),11.88 L,35.70 k,0.01
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/mphasis/MB02,Mphasis Ltd.,Computers - software & consulting,1210.6,2.79%,0.06%,3.31% (Jan 2023),2.28% (Jun 2023),4.98 L,0,0.06
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/mphasis/MB02,Mphasis Ltd.,Computers - software & consulting,1996.9,2.28%,0.10%,2.28% (Aug 2023),1.33% (Oct 2022),8.22 L,0,0.1
Sundaram Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI,Navin Flourine International Ltd.,Commodity chemicals,2205.5,2.56%,0.12%,3.04% (Apr 2023),2.18% (Dec 2022),4.79 L,0.00,0.12
PGIM India Midcap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI,Navin Flourine International Ltd.,Commodity chemicals,2369.7,2.52%,0.15%,3.09% (Apr 2023),2.08% (Nov 2022),5.15 L,0,0.15
Union Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI,Navin Flourine International Ltd.,Commodity chemicals,200.4,2.45%,0.04%,3.24% (Apr 2023),1.8% (Dec 2022),43.53 k,0.00,0.04
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,3759.5,6.56%,0.67%,6.84% (May 2023),0% (Sep 2022),7.00 L,50.00 k,0.67
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,1454.2,3.97%,0.33%,5.21% (May 2023),0.99% (Sep 2022),2.71 L,5.82 k,0.33
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,10225.0,3.09%,0.21%,3.7% (Jan 2023),2.66% (Sep 2022),19.04 L,0.00,0.21
Mahindra Manulife Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,445.2,3.02%,0.52%,3.02% (Aug 2023),2% (Dec 2022),82.89 k,10.00 k,0.52
Axis Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,6636.5,2.93%,0.29%,3.03% (Feb 2023),1.68% (Sep 2022),12.36 L,0.00,0.29
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,722.1,2.11%,0.33%,3.08% (Feb 2023),1.78% (Jul 2023),1.34 L,10.79 k,0.33
Nippon India Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15,Persistent Systems Ltd.,Computers - software & consulting,3798.8,2.07%,0.14%,2.53% (Feb 2023),1.73% (Sep 2022),7.07 L,0,0.14
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",7029.1,4.67%,0.04%,4.67% (Aug 2023),3.21% (Sep 2022),39.05 L,0.00,0.04
PGIM India Midcap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",3054.4,3.25%,0.08%,3.25% (Aug 2023),0% (Sep 2022),16.97 L,0,0.08
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",1271.9,2.95%,0.05%,2.95% (Aug 2023),2.62% (Mar 2023),7.07 L,0.00,0.05
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",1051.8,2.43%,0.01%,2.43% (Aug 2023),2.25% (Mar 2023),5.84 L,0,0.01
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/phoenixmills/PM02,Phoenix Mills Ltd.,"Residential, commercial projects",315.0,2.13%,0.01%,2.13% (Aug 2023),0% (Sep 2022),1.75 L,0.00,0.01
